id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
665247819715896836,Rental unit in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,424485172,Kell,,28804,35.61396,-82.55246,Entire home/apt,112,1,69,2023-09-10,4.78,1,299,60,
665285983377320322,Home in Asheville · ★4.70 · 2 bedrooms · 2 beds · 2 baths,51824018,Lauren,,28805,35.5877218,-82.47105549999999,Entire home/apt,175,1,33,2023-03-26,2.33,2,0,25,
667240876916183414,Boutique hotel in Asheville · ★4.56 · 1 bedroom · 2 beds · 1 private bath,184069772,Paul,,28803,35.55584,-82.52078,Private room,85,1,18,2023-07-23,1.27,5,290,13,
667421156770491567,Rental unit in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,78474630,Susan,,28805,35.59663,-82.51867,Entire home/apt,84,2,19,2023-09-11,2.06,1,87,19,
668081997613842660,Home in Asheville · ★4.97 · 2 bedrooms · 2 beds · 1 bath,481140971,James,,28801,35.60118,-82.54712,Entire home/apt,242,2,39,2023-09-10,3.53,1,137,39,
668106311195140820,Home in Asheville · ★4.95 · 4 bedrooms · 7 beds · 3 baths,36793116,Mighty Tree Properties,,28806,35.61498,-82.59512,Entire home/apt,319,1,37,2023-08-13,2.82,5,324,35,
668880210547439250,Villa in Asheville · 4 bedrooms · 10 beds · 5.5 baths,47498677,Pamela,,28801,35.60881,-82.56887,Entire home/apt,800,14,0,,,1,365,0,
668951877642918112,Home in Asheville · ★4.97 · 3 bedrooms · 4 beds · 2 baths,247799171,Brent,,28806,35.54713,-82.62002,Entire home/apt,331,2,61,2023-09-04,4.39,7,325,54,
669416515017704474,Guest suite in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 private bath,3728209,Tamara,,28806,35.57343272881623,-82.5721538,Private room,57,1,30,2023-08-24,4.35,1,272,30,
669756483535908337,Home in Arden · 1 bedroom · 1 bed · 1 private bath,158894718,Mark,,28704,35.46307,-82.57304,Private room,999,1,1,2022-08-09,0.07,1,90,0,
670215850701672135,Rental unit in Asheville · 1 bedroom · 2 beds · 1 bath,457314494,Kimpton Hotel Arras,,28801,35.59443,-82.55173,Entire home/apt,345,1,2,2023-06-22,0.22,2,141,2,
670243348550349110,Bungalow in Asheville · ★5.0 · 3 bedrooms · 3 beds · 1 bath,33449874,Molly,,28806,35.57557,-82.59458,Entire home/apt,110,30,3,2023-03-31,0.24,1,168,2,
670778011104116657,Rental unit in Arden · 2 bedrooms · 4 beds · 2 baths,469417658,Nicole,,28704,35.47700545390958,-82.56788481026888,Entire home/apt,175,2,0,,,1,365,0,
670931587025967939,Rental unit in Asheville · ★4.88 · 1 bedroom · 2 beds · 1 bath,454578310,AC Asheville Downtown,,28801,35.59698,-82.55184,Entire home/apt,254,1,41,2023-09-08,3.29,2,132,40,
670961343260623487,Rental unit in Asheville · ★5.0 · 1 bedroom · 2 beds · 1 bath,454578310,AC Asheville Downtown,,28801,35.59563,-82.55271,Entire home/apt,267,1,24,2023-09-06,1.93,2,290,23,
671235890019920484,Home in Asheville · ★4.80 · 2 bedrooms · 2 beds · 1 bath,72122857,Amber,,28806,35.58334,-82.63025,Entire home/apt,200,2,10,2022-11-27,0.83,1,89,10,
671623902125220796,Rental unit in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,267939283,Jaime,,28803,35.55016,-82.47998,Entire home/apt,106,2,86,2023-09-04,6.53,1,61,81,
671628225834649785,Home in Arden · 5 bedrooms · 6 beds · 3.5 baths,121681645,Evolve,,28704,35.47315,-82.49197,Entire home/apt,280,3,2,2022-10-16,0.18,43,18,2,
671882192427658113,Home in Asheville · ★4.93 · 2 bedrooms · 2 beds · 1 bath,155800237,Kat,,28806,35.57246,-82.60771,Entire home/apt,154,1,121,2023-09-10,8.85,1,75,111,
673618382327247833,Home in Candler · ★4.89 · 2 bedrooms · 2 beds · 1 bath,98604649,Heather,,28806,35.57085,-82.64757,Entire home/apt,129,2,28,2023-09-03,2.07,1,332,26,
673667437584241325,Home in Asheville · 1 bedroom · 1 bed · 1 bath,71012736,Rachel,,28806,35.573772720789165,-82.5991348865082,Entire home/apt,55,30,1,2023-03-20,0.17,1,74,1,
674758651803723764,Home in Fletcher · ★4.50 · 3 bedrooms · 5 beds · 0 baths,443139360,Vacasa North Carolina,,28732,35.43572,-82.51941,Entire home/apt,232,2,12,2023-05-14,0.94,28,359,9,
675529968269080269,Home in Asheville · ★4.75 · 4 bedrooms · 10 beds · 2 baths,73127762,Wendy,,28803,35.55448,-82.51174,Entire home/apt,293,2,20,2023-04-30,1.84,1,289,20,
676759193993863114,Home in Asheville · ★4.87 · 1 bedroom · 1 bed · 1 private bath,20475301,Paige & Nathan,,28806,35.56715,-82.59662,Private room,58,1,63,2023-09-10,4.59,2,312,57,
676863018438068627,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,470991786,Lane,,28806,35.55166,-82.62365,Entire home/apt,181,2,9,2023-09-04,0.72,1,317,8,
677353796235788057,Rental unit in Asheville · ★4.84 · 1 bedroom · 1 bed · 1 bath,471087905,Annie,,28805,35.60885,-82.49688,Entire home/apt,48,1,25,2023-09-10,1.96,1,313,23,
678101737068179817,Home in Asheville · 3 bedrooms · 3 beds · 3.5 baths,2799329,Eleanor,,28804,35.6384711,-82.5295967,Entire home/apt,350,4,0,,,2,90,0,
678108726732495600,Rental unit in Asheville · ★5.0 · Studio · 2 beds · 1 bath,119791932,Luke,,28806,35.58594,-82.57645,Entire home/apt,98,2,42,2023-09-10,3.25,1,133,39,
679549078708065289,Home in Asheville · ★4.91 · 3 bedrooms · 3 beds · 2.5 baths,121681645,Evolve,,28806,35.57162,-82.63997,Entire home/apt,219,2,34,2023-09-03,2.49,43,331,28,
679809782098650720,Home in Asheville · ★5.0 · 4 bedrooms · 7 beds · 3 baths,5111981,Jessica,,28805,35.6154,-82.48943,Entire home/apt,497,3,9,2023-09-04,0.83,2,9,9,
681184382011042162,Rental unit in Asheville · ★4.88 · 1 bedroom · 1 bed · 1 bath,462237430,Aloft Asheville Downtown,,28801,35.59382,-82.55049,Entire home/apt,999,1,51,2023-08-06,4.20,1,333,51,
681294831848601446,Home in Asheville · ★5.0 · 4 bedrooms · 5 beds · 3 baths,2707998,Lisa,,28805,35.60484329239477,-82.46902716931152,Entire home/apt,514,3,19,2023-08-10,1.79,1,288,19,
681984555043356793,Home in Asheville · ★4.87 · 3 bedrooms · 7 beds · 2 baths,465286340,Timothy,,28806,35.60777,-82.61503,Entire home/apt,172,2,30,2023-09-03,2.23,1,346,27,
682397601764014677,Home in Asheville · ★4.86 · 5 bedrooms · 9 beds · 3 baths,470646915,David,,28806,35.62366,-82.63088,Entire home/apt,301,1,35,2023-08-27,2.70,1,163,33,
682732554537545976,Home in Asheville · ★4.94 · 1 bedroom · 2 beds · 1 private bath,322927823,Grier And Matthew,,28806,35.55185,-82.63174,Private room,82,1,32,2023-09-10,2.82,1,80,32,
683253387866026760,Home in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 bath,16110671,Jane,,28806,35.57463,-82.59904,Entire home/apt,110,3,23,2023-09-10,1.76,1,6,21,
683419374652644627,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,129486798,Ryan,,28803,35.5706,-82.51482,Private room,65,2,25,2023-09-10,2.08,1,147,25,
683520133983815135,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,92361168,Zahra,,28806,35.63375,-82.63314,Entire home/apt,135,2,11,2023-09-05,0.83,3,0,9,
683959567296407076,Cottage in Arden · 1 bedroom · 1 bed · 1 bath,472727588,Kimberly,,28704,35.46142,-82.5454,Entire home/apt,245,2,0,,,1,90,0,
684276111985663750,Home in Asheville · ★4.95 · 4 bedrooms · 4 beds · 3 baths,182375963,Jim,,28805,35.6048233032394,-82.46881909668446,Entire home/apt,524,2,21,2023-08-11,1.87,1,134,21,
685522508132856082,Home in Asheville · ★4.89 · 3 bedrooms · 3 beds · 2.5 baths,304891938,Joshua,,28803,35.55338,-82.50636,Entire home/apt,151,2,44,2023-08-07,3.36,3,276,40,
686055814693911306,Rental unit in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 bath,27378532,Cecil,,28804,35.62117,-82.56226,Entire home/apt,99,2,65,2023-09-10,5.20,1,297,64,
686088974677118082,Camper/RV in Asheville · ★4.98 · 1 bedroom · 3 beds · 1 bath,27538155,Mark And Alayna,,28803,35.52619,-82.49054,Entire home/apt,99,2,48,2023-09-03,3.59,1,160,35,
686886377380298328,Guest suite in Woodfin · ★4.74 · 1 bedroom · 1 bed · 1 bath,129648261,Sydney,,28804,35.63299,-82.58261,Entire home/apt,86,2,19,2023-08-13,1.83,1,121,19,
688382665214505680,Home in Arden · ★4.93 · 2 bedrooms · 2 beds · 1.5 baths,473818786,Thuy,,28704,35.4699676,-82.5059674,Entire home/apt,121,2,15,2023-08-05,1.35,1,297,15,
